"id","店舗名","店舗名（英語）","住所","住所（英語）","検索条件エリア","カテゴリ（まとめ）","SSID種類","lat","lng"
"990","三谷医院","Mitani medical clinic","西牟婁郡 白浜町1400","1400 Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N","33.669189","135.402939"
"991","翔建築設計工房","Sho architectural design office","田辺市朝日ｹ丘28‐14","28-14 Asahigaoka, Tanabe-shi","熊野エリア","その他","N","33.733349","135.389267"
"992","あらほり木材","Arahori Mokuzai Timber","日高郡 みなべ町東岩代577","577 Higashiiwashiro, Minabecho, Hidaka-gun","有田・湯浅・日高エリア","その他","N","33.784096","135.287994"
"993","やかた","Yakata Restaurant","伊都郡高野町大字高野山733","733 Koyasan, Koyacho, Ito-gun","高野山エリア","グルメ","N","34.219963","135.598831"
"994","ダイチク精肉店","Daichiku butcher shop","西牟婁郡 上富田町岩田3103‐13","3103-13 Iwada, Kamitondacho, Nishimuro-gun","白浜・串本エリア","ショッピング","N","33.713322","135.454559"
"995","モリモト造園","Morimoto Zoen Gardening","日高郡みなべ町山内1595‐1","1595-1 Yamauchi, Minabecho, Hidaka-gun","有田・湯浅・日高エリア","その他","N","33.775764","135.310028"
"996","稲垣青果","Inagaki Fruit Shop","田辺市稲成町300","300 Inaricho, Tanabe-shi","熊野エリア","ショッピング","N","33.742329","135.376892"
"997","栗山晴年土地家屋調査士事務所","Kuriyama Harutoshi Land and House Investigator","海南市下津町方379‐3","379-3 Shimotsuchokata, Kainan-shi","和歌山市エリア","その他","N","34.12318","135.149475"
"998","久保味噌本舗","Kubo Miso Honpo Shop","和歌山市北町17","17 Kitamachi, Wakayama-shi","和歌山市エリア","その他","N","34.235966","135.173828"
"999","有限会社栗麺","Kurimen Co., Ltd., noodle making business","西牟婁郡 白浜町栄677‐2","677-2 Sakae, Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N","33.654011","135.394821"
"1000","有限会社池喜商店","Ikeki Shoten Co., Ltd.","伊都郡かつらぎ町大字東渋田336‐1","336-1 Higashishibuta, Katsuragicho, Ito-gun","高野山エリア","その他","N","34.277927","135.480988"
"1001","堀本金物店","Horimoto hardware store","田辺市本町37","37 Honmachi, Tanabe-shi","熊野エリア","ショッピング","N","33.733906","135.374786"
"1002","アキツアソシエイツ","Akitsu Associates","橋本市高野口町伏原254","254 Fushihara, Koyaguchicho, Hashimoto-shi","高野山エリア","その他","N","34.306225","135.571426"
"1003","有限会社玉置造園","Tamaki Zoen Gardening Co., Ltd.","新宮市神倉1丁目2‐15","1-2-15 Kamikura, Shingu-shi","熊野エリア","その他","N","33.724102","135.985352"
"1004","有限会社湊米穀","Minato Beikoku Co., Ltd., rice shop","田辺市湊1170","1170 Minato, Tanabe-shi","熊野エリア","ショッピング","N","33.733608","135.381134"
"1005","田元鉄工有限会社","Tamoto Ironworks Co., Ltd.","西牟婁郡 白浜町栄601‐3","601-3 Sakae, Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N","33.654011","135.394821"
"1006","有限会社かね増青果","Kanemasu Seika Greengrocery Co., Ltd.","和歌山市西浜1660‐401","1660-401 Nishihama, Wakayama-shi","和歌山市エリア","ショッピング","N","34.203659","135.146271"
"1007","株式会社マルサ　本店","Marusa Co., Ltd., seafood shop","田辺市福路町16","16 Fukuromachi, Tanabe-shi","熊野エリア","ショッピング","N","33.733105","135.376282"
"1008","小西米穀店","Rice Shop Konishi Beikokuten","有田郡有田川町大字徳田242‐6","242-6 Tokuda, Aridagawacho, Arida-gun","有田・湯浅・日高エリア","ショッピング","N","34.063213","135.249847"
"1009","紀の川環境協同組合","Kinokawa Kankyo Kyodokumiai Water Works","伊都郡 かつらぎ町大字窪470‐1","470-1 Kubo, Katsuragicho, Ito-gun","高野山エリア","その他","N","34.28537","135.464844"
"1010","ナーセリーナカムラ","Nursery Nakamura","御坊市湯川町富安2422","2422 Tomiyasu, Yukawacho, Gobo-shi","有田・湯浅・日高エリア","ショッピング","N","33.914997","135.164993"
"1011","サクラファーム","Sakura farm, Delicious Strawberries","紀の川市貴志川町西山1444","1444 Nishiyama, Kishigawacho, Kinokawa-shi","和歌山市エリア","その他","N","34.216087","135.293594"
"1012","田辺西牟婁測量設計業協同組合","Tanabe Nishimuro Survey & Design co-op","田辺市朝日ヶ丘16-19","16-19 Asahigaoka, Tanabe-shi","熊野エリア","その他","N","33.735847","135.390518"
"1013","きのかわふるさと村","Kinokawa Furusato Mura, local agricultural products","紀の川市西大井410‐5","410-5 Nishioi, Kinokawa-shi","和歌山市エリア","その他","N","34.269924","135.360626"
"1014","山崎秋芳園","Umeboshi Shop Yamasaki Shuhouen","日高郡 みなべ町北道222","222 Kitado, Minabecho, Hidaka-gun","有田・湯浅・日高エリア","ショッピング","N","33.769127","135.320679"
"1015","上霞石材店","Uwagasumi Gravestone","田辺市稲成町733‐8","733-8 Inaricho, Tanabe-shi","熊野エリア","その他","N","33.74958","135.374023"
"1016","山本石油","Yamamoto Oil, service station","田辺市芳養町43","43 Hayacho, Tanabe-shi","熊野エリア","その他","N","33.756256","135.345352"
"1017","ミートショップニシイ","Meat Shop Nishii","紀の川市名手市場1433","1433 Nateichiba, Kinokawa-shi","和歌山市エリア","グルメ","N","34.276016","135.432907"
"1018","丁字屋打田店","Chojiya, Uchida, clothing shop","紀の川市上野41‐2","41-2 Ueno, Kinokawa-shi","和歌山市エリア","ショッピング","N","34.263966","135.363266"
"1019","ＳｅａＢｉｒｔｈ","SeaBirth, knickknack shop","西牟婁郡白浜町1275‐12","1275-12 Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N","33.669189","135.402939"
"1020","有限会社羽根エンジニアリング","Hane Engineering Co., Ltd.","和歌山市大谷15‐11","15-11 Otani, Wakayama-shi","和歌山市エリア","その他","N","34.259922","135.18129"
"1021","Ｇ―ＴＥＣ","G-TEC, telecommunication","田辺市朝日ヶ丘1‐11","1-11 Asahigaoka, Tanabe-shi","熊野エリア","その他","N","33.732723","135.3927"
"1022","みつば","Kitchen & Cafe Mitsuba","和歌山市黒田2丁目2‐35","2-2-35 Kuroda, Wakayama-shi","和歌山市エリア","グルメ","N","34.232792","135.195633"
"1023","ハート整骨院鍼灸院","Heart Osteopathic Clinic Acupuncture Clinic","和歌山市新庄95","95 Shinjo, Wakayama-shi","和歌山市エリア","その他","N","34.242413","135.288834"
"1024","上野山学園認定こども園認定こども園","Uenoyama Gakuen Nursery School","田辺市古尾17‐1","17-1 Furuo, Tanabe-shi","熊野エリア","その他","N","33.736393","135.371033"
"1025","株式会社川合農機具店","Kawai agricultural machinery CO.,LTD.","御坊市島743‐3","743-3 Shima, Gobo-shi","有田・湯浅・日高エリア","その他","N","33.897476","135.160965"
"1026","多屋安ガラス店","Tayayasu Glass","田辺市本町35","35 Honmachi, Tanabe-shi","熊野エリア","その他","N","33.733906","135.374786"
"1027","川口登記測量事務所","Kawaguchi land and house investigator office","紀の川市打田537","537 Uchita, Kinokawa-shi","和歌山市エリア","その他","N","34.260178","135.374283"
"1028","コーポＦワン","Co-op F1, real estate","新宮市五新3‐6","3-6 Goshin, Shingu-shi","熊野エリア","その他","N","33.718208","135.984436"
"1029","かみや荘","Kamiyaso","日高郡 由良町大字神谷82","82 Kamiya, Yuracho, Hidaka-gun","有田・湯浅・日高エリア","その他","N","33.959026","135.088364"
"1030","笠松農機店","Kasamatsu Agricultural Machinery","西牟婁郡 上富田町生馬1497‐6","1497-6 Ikuma , Kamitondacho, Nishimuro-gun","白浜・串本エリア","その他","N","33.691849","135.457611"
"1031","和田建具店","Wada Tateguten, interior construction","西牟婁郡 白浜町田野井634","634 Tanoi, Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N","33.594341","135.444809"
"1032","榎本建具店","Enomoto Furniture Store","伊都郡かつらぎ町大字妙寺499‐2","499-2 Myoji, Katsuragicho, Ito-gun","高野山エリア","その他","N","34.298908","135.52211"
"1033","スミヤ・紀州備長炭倶楽部","Sumiya Kishu Binchotan Charcoal Club","日高郡 みなべ町熊岡442‐1","442-1 Kumaoka, Minabecho, Hidaka-gun","有田・湯浅・日高エリア","その他","N","33.778633","135.33844"
"1034","民宿うら","Guesthouse Ura, specialty seafood cuisine","西牟婁郡白浜町3300-14","3300-14 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","N","33.669189","135.402939"
"1035","もりとよ商店","Moritoyo Shoten Liquor Shop","東牟婁郡古座川町高池83‐1","83-1 Takaike, Kozagawacho, Higashimuro-gun","熊野エリア","ショッピング","N","33.532391","135.814468"
"1036","中野モータース","Nakano Motors, motorcycle","御坊市薗116","116 Sono, Gobo-shi","有田・湯浅・日高エリア","その他","N","33.895588","135.155273"
"1037","株式会社木地由クリエート","Kijiyoshi Create Co., Ltd.","海南市船尾704‐77","704-77 Funoo, Kainan-shi","和歌山市エリア","その他","N","34.15839","135.202637"
"1038","有限会社野村酒店","Nomura Liquor Shop Co., Ltd.","田辺市磯間24‐35","24-35 Iisoma, Tanabe-shi","熊野エリア","ショッピング","N","33.720158","135.383499"
"1039","有限会社松尾海運","Matsuo Kaiun Shipping Co., Ltd.","海南市下津町大崎4‐2","4-2 Osaki, Smotsucho, Kainan-shi","和歌山市エリア","その他","N","34.1292","135.1353"
"1040","諏訪園","Suwaen Japanese Tea Store","和歌山市新堺丁40","40 Shinsakaicho, Wakayama-shi","和歌山市エリア","ショッピング","N","34.23415","135.179398"
"1041","前田電気商会","Maeda Electrical Engineering","西牟婁郡 上富田町岩田2556","2556 Iwada, Kamitondacho, Nishimuro-gun","白浜・串本エリア","その他","N","33.708817","135.446579"
"1042","デイボン","Deavon Leather Craft Store","和歌山市汐見町3丁目15‐1","3-15-1 Shiomicho, Wakayama-shi","和歌山市エリア","その他","N","34.220833","135.185242"
"1043","中春商店","Nakaharu Shoten Store","海南市下津町下津1427‐1","1427-1 Shimotsu, Shimotsucho, Kainan-shi","和歌山市エリア","ショッピング","N","34.109028","135.142181"
"1044","あみ清数見商店本店","Amise Kazumi Shoten, Main Shop","有田郡湯浅町大字湯浅519","519 Yuasa, Yuasacho, Arida-gun","有田・湯浅・日高エリア","ショッピング","N","34.035324","135.176682"
"1045","和歌山西バプテスト教会","Wakayama Nishi Baptist Church","和歌山市西庄774‐14","774-14 Nishinosho, Wakayama-shi","和歌山市エリア","その他","N","34.256214","135.116119"
"1046","橋本荘","Hashimotoso Inn","日高郡日高町大字産湯736‐1","736-1 Ubuyu, Hidakacho, Hidaka-gun","有田・湯浅・日高エリア","宿泊","N","33.912647","135.084717"
"1047","ランドマーク湯浅","Landmark Yuasa","有田郡有田川町大字熊井442‐8","442-8 Kumai, Aridagawacho, Arida-gun","有田・湯浅・日高エリア","その他","N","34.042606","135.194656"
"1048","有限会社岡鼻保険事務所","Okahana Insurance Office Co., Ltd.","東牟婁郡那智勝浦町大字宇久井286","286 Ugui, Nachikatsuuracho, Higashimuro-gun","熊野エリア","その他","N","33.662579","135.974167"
"1049","新成建材店","Shinsei Building Supply Store","和歌山市湊御殿3丁目5‐2","3-5-2 Minatogoten, Wakayama-shi","和歌山市エリア","その他","N","34.217403","135.155777"
"1050","中治","Nakaji liquor shop","紀の川市貴志川町 国主67-1","67-1 Kunishi, Kishigawacho , Kinokawa-shi","和歌山市エリア","ショッピング","N","34.207691","135.311752"
"1051","ｄｒｏｐ","drop Hair Salon","和歌山市三葛314‐1ｸﾞﾘｰﾝﾌﾙのぼる102号","Greenful Noboru Rm.102, 314-1 Mikazura, Wakayama-shi","和歌山市エリア","その他","N","34.193005","135.184174"
"1052","カゴタ花店","KAGOTA FLOWER","御坊市薗269‐2","269-2 Sono, Gobo-shi","有田・湯浅・日高エリア","ショッピング","N","33.893192","135.155563"
"1053","森田白蟻研究所","Morita Termite Laboratory","有田郡有田川町大字上中島510","510 Kaminakashima, Aridagawacho, Arida-gun","有田・湯浅・日高エリア","その他","N","34.071907","135.206177"
"1054","林ポンプ店","Hayashi Pump, plumbery","御坊市島545","545 Shima, Gobo-shi","有田・湯浅・日高エリア","その他","N","33.894058","135.160599"
"1055","ＢＡＲ　ＤＩＶＥ","Bar DIVE","西牟婁郡白浜町1384‐62","1384-62 Shirahamacho, Nishimuro-gun","白浜・串本エリア","グルメ","N","33.669189","135.402939"
"1056","ほっかほっか亭　和歌山駅東口店","HokkaHokka-tei, Wakayama Station East Exit Store","和歌山市太田2丁目14‐9","2-14-9 Oda, Wakayama-shi","和歌山市エリア","グルメ","N","34.23214","135.195892"
"1057","ほっかほっか亭　こうざき店","HokkaHokka-tei, Kouzaki Store","和歌山市神前158‐2ｺｰﾎﾟひかり1階","Corp. Hikari 1F, 158-2 Kozaki, Wakayama-shi","和歌山市エリア","ショッピング","N","34.216629","135.203094"
"1058","らぐまんラーメン","Restaurant Raguman Ramen","伊都郡かつらぎ町大字大谷1169-6","1169-6 Otani, Katsuragicho, Ito-gun","高野山エリア","グルメ","N","34.293011","135.494873"
"1059","有限会社三浦エンジニアリング","Miura Engineering Co., Ltd.","和歌山市大谷806‐140","806-140 Otani, Wakayama-shi","和歌山市エリア","その他","N","34.263954","135.177094"
"1060","ミスタータイヤマンＭ―Ｔｅｃｈ","Mr. Tire Man M-Tech","紀の川市貴志川町北山516‐3","516-3 Kitayama, Kishigawacho, Kinokawa-shi","和歌山市エリア","グルメ","N","34.23024","135.321533"
"1061","山本満商店","Yamamoto Mitsuru Shoten Store","海草郡紀美野町下佐々726‐3","726-3 Shimosasa, Kiminocho, Kaiso-gun","和歌山市エリア","その他","N","34.156429","135.314667"
"1062","場谷彫刻所","Batani precision machining","西牟婁郡 白浜町安宅461‐43","461-43 Atagi, Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N","33.578251","135.469131"
"1063","和歌山県暮らしを守る会事務局","Wakayama prefecture group for safe livelihood, political body","橋本市高野口町 小田91‐4","91-4 Oda, Koyaguchicho,  Hashimoto-shi","高野山エリア","その他","N","34.299637","135.564117"
"1064","大浦生花店","Oura Flower Shop","有田市宮原町新町34","34 Shinmachi, Miyaharacho, Arida-shi","有田・湯浅・日高エリア","その他","N","34.077423","135.17421"
"1065","アクアフィールド","project AQUA FIELD","和歌山市田尻145‐9","145-9 Tajiri, Wakayama-shi","和歌山市エリア","その他","N","34.210617","135.197754"
"1066","塗り工房ふじい","Nurikobo Painting Atelier Fujii","海南市名高532‐4","532-4 Nataka, Kainan-shi","和歌山市エリア","その他","N","34.154114","135.211884"
"1067","岸浦製綿","Kishiura Cotton Mill","和歌山市内原1367","1367 Uchihara, Wakayama-shi","和歌山市エリア","その他","N","34.175694","135.193344"
"1068","株式会社白浜衛生","Shirahama Janitorial Services Co., Ltd.","西牟婁郡 白浜町2927-365","2927-365 Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N","33.669189","135.402939"
"1069","ビルボード株式会社","Billboard Co., Ltd.","和歌山市中筋日延298-12","298-12 Nakasujihinobe, Wakayama-shi","和歌山市エリア","その他","N","34.271374","135.272522"
"1070","紀伊白浜温泉土地株式会社","Kii Shirahama hot spring supplier Co., Ltd.","西牟婁郡白浜町2762‐2","2762-2 Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N","33.669189","135.402939"
"1071","セリエフラワーショップ","Selier Flower Shop","田辺市湊703","703 Minato, Tanabe-shi","熊野エリア","その他","N","33.728668","135.385513"
"1072","Ｂｅｌｌｎａｒｌ","The Bellnarl Wedding","和歌山市吹屋町5丁目44-1ﾍﾞﾙﾅｰﾙ3階","Bernard 3F, 5-44-1 Fukiyacho, Wakayama-shi","和歌山市エリア","その他","N","34.225578","135.191605"
"1073","フォレストパソコンスクール","Forest PC School","和歌山市島橋東ﾉ丁1‐47","1-47 Shimabashihigashinocho, Wakayama-shi","和歌山市エリア","その他","N","34.243382","135.150864"
"1074","ボンバーガール","Import Goods Store Bomber Girl","伊都郡かつらぎ町大字寺尾58-58","58-58 Terao, Katsuragicho, Ito-gun","高野山エリア","その他","N","34.285538","135.495453"
"1075","ビリヤードニュー東和","Billiard New Towa","和歌山市中之島2255","2255 Nakanoshima, Wakayama-shi","和歌山市エリア","その他","N","34.236187","135.186386"
"1076","だいち整骨院","Daichi Bonesetter's Office","田辺市末広町3‐34","3-34 Suehirocho, Tanabe-shi","熊野エリア","その他","N","33.725883","135.380005"
"1077","デイサービスセンターむろの家","Muronoie, adult day care center","西牟婁郡上富田町南紀の台59‐49","59-49 Nankinodai, Kamitondacho, Nishimuro-gun","白浜・串本エリア","その他","N","33.695972","135.403931"
"1078","有限会社中川工作所","Nakagawa Kosakusho CO.,LTD., home remodeling","紀の川市西大井109‐1","109-1 Nishioi, Kinokawa-shi","和歌山市エリア","その他","N","34.267521","135.361816"
"1079","祐星","Yusei Japanese-style Bar","和歌山市田中町2丁目21","2-21 Tanakamachi, Wakayama-shi","和歌山市エリア","グルメ","N","34.228279","135.186096"
"1080","さくらきもの学院","Sakura Kimono School","岩出市清水485‐1","485-1 Shimizu, Iwade-shi","和歌山市エリア","その他","N","34.258167","135.318314"
"1081","Ｆｏｒｔｙ―Ｆｉｖｅ―Ｓｅｌｅｃｔ","Forty-Five-Select, used car dealer","紀の川市打田321‐2","321-2 Uchita, Kinokawa-shi","和歌山市エリア","その他","N","34.261467","135.369614"
"1082","Ｖ．Ｃ・Ｇａｒａｇｅ","","田辺市稲成町2778‐10"," ","熊野エリア","その他","N","33.752449","135.370544"
"1083","三宅商会","","和歌山市新中島77‐1"," ","和歌山市エリア","その他","N","34.215084","135.197922"
"1084","グランドオート・セイ","","和歌山市森小手穂295‐1"," ","和歌山市エリア","その他","N","34.207573","135.229645"
"1085","グランドオート・セイ　楠見店","","和歌山市楠見中188‐7"," ","和歌山市エリア","その他","N","34.25441","135.177979"
"1086","津守歯科クリニック","","和歌山市土入21‐21"," ","和歌山市エリア","その他","N","34.254593","135.142227"
"1087","前田工業","","岩出市新田広芝28‐13"," ","和歌山市エリア","その他","N","34.269814","135.332047"
"1088","大工井上","","海南市別院345"," ","和歌山市エリア","その他","N","34.169788","135.275497"
"1089","株式会社和歌山ビデオセンター","","和歌山市吹上3丁目1‐45"," ","和歌山市エリア","その他","N","34.219032","135.171173"
"1090","一楓","","御坊市湯川町小松原632‐1"," ","有田・湯浅・日高エリア","グルメ","N","33.904762","135.148819"
"1091","ＯＮＮ学習塾","","和歌山市友田町4丁目16吉田ﾋﾞﾙ4階"," ","和歌山市エリア","その他","N","34.233669","135.188217"
"1092","カラオケ広場シャルウイ・ソング","","海南市下津町 下津881‐1"," ","和歌山市エリア","その他","N","34.106571","135.147171"
"1093","きもの帯たまき振袖館","","和歌山市黒田1丁目2‐17"," ","和歌山市エリア","ショッピング,その他","N","34.232521","135.193344"
"1094","三谷建築設計事務所","Mitani Architecture Office","田辺市あけぼの52‐22","52-22 Akebono, Tanabe-shi","熊野エリア","その他","N","33.727474","135.395279"
"1095","みやお歯科","","和歌山市北野154‐5"," ","和歌山市エリア","その他","N","34.268826","135.250534"
"1096","松本建築設計事務所","","東牟婁郡 那智勝浦町大字朝日2丁目213‐1"," ","熊野エリア","その他","N","33.630039","135.938156"
"1097","有限会社アートワーク","","和歌山市小松原5丁目1‐41"," ","和歌山市エリア","その他","N","34.218678","135.168427"
"1098","有限会社　川端組","","紀の川市上田井761‐2"," ","和歌山市エリア","その他","N","34.268375","135.382156"
"1099","いぬい内科呼吸器内科クリニック","","海南市名高539‐18"," ","和歌山市エリア","その他","N","34.155178","135.212112"
"1100","角光弘土地家屋調査士事務所","","御坊市野口998‐5"," ","有田・湯浅・日高エリア","その他","N","33.902615","135.182297"
"1101","中本農園","","日高郡 みなべ町晩稲1436"," ","有田・湯浅・日高エリア","ショッピング","N","33.786678","135.337112"
"1102","庄司木材店","","東牟婁郡那智勝浦町大字湯川885"," ","熊野エリア","その他","N","33.628319","135.928955"
"1103","中岡設備","","西牟婁郡上富田町南紀の台18‐1"," ","白浜・串本エリア","その他","N","33.70068","135.403214"
"1104","カクタス・ニシ","","和歌山市大垣内688‐2"," ","和歌山市エリア","ショッピング","N","34.242199","135.277115"
"1105","宮本製麺所","","紀の川市名手市場34"," ","和歌山市エリア","その他","N","34.273903","135.430878"
"1106","シューズランドアリタ","","有田市宮崎町88"," ","有田・湯浅・日高エリア","その他","N","34.080254","135.118271"
"1107","有限会社辻孝","","和歌山市手平4丁目6‐38"," ","和歌山市エリア","その他","N","34.218277","135.184616"
"1108","ヴィラオーシャンビュー","","西牟婁郡白浜町1884‐1"," ","白浜・串本エリア","その他","N","33.669189","135.402939"
"1109","アオイ整染工業株式会社","Aoi seisen Co.,LTD., textile treatment","橋本市高野口町伏原160","160 Fushihara, Koyaguchicho, Hashimoto-shi","高野山エリア","その他","N","34.304131","135.570602"
"1110","澳内科医院","","有田郡湯浅町大字湯浅1054‐1"," ","有田・湯浅・日高エリア","その他","N","34.032612","135.180573"
"1111","蔵カフェ","Kura Cafe","有田郡湯浅町湯浅1464","1464 Yuasa-cho, Arita-gun","有田・湯浅・日高エリア","グルメ","N","34.035324","135.176682"
"1112","西川内科クリニック","Nishikawa Internal Medicine Clinic","和歌山市黒田1-2-4","1-2-4 Kuroda, Wakayama-shi","和歌山市エリア","その他","N","34.232521","135.193344"
"1113","有限会社カワショー","","日高郡 美浜町大字和田1153"," ","有田・湯浅・日高エリア","その他","N","33.8955","135.130295"
"1114","畑中化工株式会社","","海南市且来265‐2"," ","和歌山市エリア","その他","N","34.172138","135.237427"
"1115","居酒屋亜細亜","ASIA, izakaya & ramen","岩出市森101","101 Mori, Iwade-shi","和歌山市エリア","グルメ","N","34.271912","135.311768"
"1116","小山商事","Koyama Shoji, transportation","西牟婁郡上富田町朝来4075","4075 Asso, Kamitondacho, Nishimuro-gun","白浜・串本エリア","その他","N","33.702744","135.419769"
"1117","藍の里あさもと工房","Asamoto Aizome Factory, indigo workshop","西牟婁郡 白浜町日置288‐1","288-1 Hiki, Shirahamacho, Nishimuro-gun","白浜・串本エリア","ショッピング","N","33.568886","135.43631"
"1118","株式会社有石　貴志川店","Ariseki CO.,LTD., Kishikawa, gas station","紀の川市貴志川町前田559","559 Maeda, Kishigawacho, Kinokawa-shi","和歌山市エリア","その他","N","34.223419","135.31871"
"1119","グリーンショップ　エルマナ","Green shop,  Herumana, florist shop","岩出市湯窪8‐1","8-1 Yukubo, Iwade-shi","和歌山市エリア","その他","N","34.269932","135.295288"
"1120","クリーン・サービス","","田辺市秋津町764‐10"," ","熊野エリア","その他","N","33.742241","135.385757"
"1121","きのくに薬局","Kinokuni Pharmacy","和歌山市藤田15‐1","15-1 Fujita, Wakayama-shi","和歌山市エリア","その他","N","34.268974","135.263962"
"1122","ＣＡＳＡ","CASA Interior","和歌山市中之島1475","1475 Nakanoshima, Wakayama-shi","和歌山市エリア","その他","N","34.239471","135.186295"
"1123","タキガワメガネ","TAKIGAWA OPTICAL","和歌山市元博労町36","36 Motobakuromachi, Wakayama-shi","和歌山市エリア","ショッピング","N","34.234886","135.168488"
"1124","木村屋","","和歌山市新和歌浦2‐2"," ","和歌山市エリア","宿泊","N","34.185745","135.156937"
"1125","赤帽小川運送店","Akabou Ogawa Forwarding House","和歌山市和歌川町5‐12","5-12 Wakagawacho, Wakayama-shi","和歌山市エリア","その他","N","34.19545","135.178757"
"1126","前田商店","Maeda Shoten","和歌山市冬野1224‐11","1224-11 Fuyuno, Wakayama-shi","和歌山市エリア","その他","N","34.177544","135.209976"
"1127","おそうじ本舗和歌山紀の川店","Osouji Honopo House Cleaning Service Wakayama Kinokawa Branch","和歌山市島橋南ﾉ丁3‐6","3-6 Minaminocho, Shimabashi, Wakayama-shi","和歌山市エリア","その他","N","34.24279","135.148407"
"1128","アールクレー","","和歌山市東鍛冶屋町24"," ","和歌山市エリア","その他","N","34.234734","135.172714"
"1129","ほけんプラス株式会社","Hoken Plus Co., Ltd.","和歌山市北ﾉ新地 東ﾉ丁4","4 Higashinocho, Kitanoshinchi, Wakayama-shi","和歌山市エリア","その他","N","34.231785","135.184235"
"1130","株式会社プロテックス","Protecs Co., Ltd.","和歌山市北出島1丁目2‐14","1-2-14 Kitadejima, Wakayama-shi","和歌山市エリア","その他","N","34.224297","135.19194"
"1131","倉庫ミュージアムＷＡＷＡＷＡ","warehouse museum WAWAWA, new style art & cafe","御坊市島326-2","326-2 Shima, Gobo-shi","有田・湯浅・日高エリア","グルメ","N","33.894245","135.164062"
"1132","株式会社サンエスト","Sunest Aviation Co., Ltd.","西牟婁郡白浜町2926新南紀白浜空港ｻﾝｴｽﾄ格納庫","Shinnankishirahama Airport Sunest Hanger, 2926 Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N","33.669189","135.402939"
"1133","食堂プチ","","御坊市薗299‐5"," ","有田・湯浅・日高エリア","グルメ","N","33.89241","135.152588"
"1134","石神邑","","田辺市上芳養391"," ","熊野エリア","ショッピング","N","33.788071","135.365509"
"1135","有限会社ニッソー","Nisso Recycle Co., Ltd.","和歌山市中島12‐2","12-2 Nakajima, Wakayama-shi","和歌山市エリア","ショッピング","N","34.21117","135.188828"
"1136","橋爪肥料店","","海南市下津町小南176"," ","和歌山市エリア","その他","N","34.127323","135.165009"
"1137","森安機工","Moriyasu Kiko Ceramic Work","海南市岡田444‐15","444-15 Okada, Kainan-shi","和歌山市エリア","その他","N","34.17149","135.217957"
"1138","関本自動車ＲＡＭＡ車検センター","Sekimoto Automobile RAMA Car Inspection Center","和歌山市湊1369‐3","1369-3 Minato, Wakayama-shi","和歌山市エリア","その他","N","34.219063","135.147003"
"1139","高橋会計事務所","Takahashi Accounting Office","岩出市中黒276-3","276-3 Nakakuro, Iwade-shi","和歌山市エリア","その他","N","34.271778","135.292099"
"1140","ミヤビエンタープライズ　事務所","Miyabi Enterprise, insurance company","紀の川市桃山町神田180","180 Koda, Momoyamacho, Kinokawa-shi","和歌山市エリア","その他","N","34.230137","135.352203"
"1141","オーロラ","Aurora","和歌山市西高松1丁目6‐4","1-6-4 Nishitakamatsu, Wakayama-shi","和歌山市エリア","その他","N","34.207996","135.170746"
"1142","ガリバー","","田辺市あけぼの16‐31"," ","熊野エリア","ショッピング","N","33.732533","135.390732"
"1143","クロスロード・レコード","CROSSROAD RECORDS","和歌山市元寺町1丁目60","1-60 Motoderamachi, Wakayama-shi","和歌山市エリア","ショッピング","N","34.234451","135.177414"
"1144","有限会社エム工房","M Kobo Co., Ltd.","紀の川市貴志川町前田475‐5","475-5 Kishigawachomaeda, Kinokawa-shi","和歌山市エリア","その他","N","34.225124","135.315125"
"1145","浦口高典　事務所","Uraguchi Kouten Prefectural Assembly Office","和歌山市堀止西1丁目10‐14","1-10-14 Horidomenishi, Wakayama-shi","和歌山市エリア","その他","N","34.213238","135.166946"
"1146","有限会社安田農園","","西牟婁郡 白浜町大440"," ","白浜・串本エリア","ショッピング","N","33.646751","135.507812"
"1147","マリク","Pet Shop Malik","西牟婁郡白浜町2998‐138","2998-138 Shirahamacho, Nishimuro-gun","白浜・串本エリア","ショッピング","N","33.669189","135.402939"
"1148","旭商会（株）事務所","Asahi and Co. Office","御坊市湯川町財部260‐5","260-5 Takara, Yukawacho, Gobo-shi","有田・湯浅・日高エリア","その他","N","33.900505","135.151474"
"1149","株式会社河尻","Kawajiri Metal Processing Co., Ltd.","和歌山市下三毛513","513 Shimomike, Wakayama-shi","和歌山市エリア","その他","N","34.243191","135.295425"
"1150","しこう和歌山店","Shikou Jewelry Shop Wakayama Branch","和歌山市南桶屋町16","16 Minami Okeyamachi, Wakayama-shi","和歌山市エリア","ショッピング","N","34.235329","135.175537"
"1151","根来電機","","紀の川市貴志川町 西山652"," ","和歌山市エリア","その他","N","34.221397","135.282944"
