"店舗名","店舗名（英語）","住所","住所（英語）","検索条件エリア","カテゴリ（まとめ）","SSID種類"
"観光特産センターこかわ","Kokawa specialty products center, Kinokawa City Sightseeing Association,","紀の川市粉河2046‐1観光物産ｾﾝﾀｰ","Kanko Bussan Center, 2046-1 Kokawa, Kinokawa-shi","和歌山市エリア","ショッピング","N"
"めはり本舗三軒茶屋","Mehari Honpo, Sankenchaya, local cuicine restautant","田辺市栄町57","57 Sakaemachi, Tanabe-shi","熊野エリア","グルメ","N"
"ドック繊維株式会社　鮎川工場","Dog Seni, Ayukawa plant,apparel manufacturer","田辺市鮎川512‐1","512-1 Ayukawa, Tanabe-shi","熊野エリア","その他","N"
"児島　医院","Kojima Iin Hospital","有田郡湯浅町大字湯浅686","686 Yuasa, Yuasacho, Arida-gun","有田・湯浅・日高エリア","その他","N"
"庄司商店","Shoji Shoten Rice Shop","海草郡 紀美野町下佐々803‐3","803-3 Shimosasa, Kiminocho, Kaiso-gun","和歌山市エリア","ショッピング","N"
"大野スポーツ","Baseball Gear, Ohno Sports","海南市鳥居6‐1","6-1 Torii, Kainan-shi","和歌山市エリア","ショッピング","N"
"有限会社みどり園芸","Midori Gardening Co., Ltd.","海南市且来109‐1","109-1 Asso, Kainan-shi","和歌山市エリア","ショッピング","N"
"池田鹿蔵みかん農園","Ikeda Shikazo Mikan Noen Mandarin Orange Farm","有田郡 広川町大字名島309","309 Nashima, Hirogawacho, Arida-gun","有田・湯浅・日高エリア","その他","N"
"うらがみ内科クリニック","Uragami Naika Medical Clinic","和歌山市加納297‐1","297-1 Kanomachi, Wakayama-shi","和歌山市エリア","その他","N"
"デイサービスつどいの家","Day Care Center for Seniors, Tsudoi-no-ie","海南市且来646","646 Asso, Kainan-shi","和歌山市エリア","その他","N"
"上西塗料店","Uenishi Toryo Paint Shop","和歌山市朝日74‐41","74-41 Asahi, Wakayama-shi","和歌山市エリア","ショッピング","N"
"肉の卸問屋牛王","Meat Wholesale Shop Gyuou","岩出市水栖31‐1","31-1 Mizusu, Iwade-shi","和歌山市エリア","ショッピング","N"
"プロリストあさくら","Plorist Asakura","和歌山市鷹匠町1丁目24","1-24 Takajomachi, Wakayama-shi","和歌山市エリア","その他","N"
"辻商店","Tuji Shoten Store","橋本市高野口町名古曽734","734 Nagoso, Koyaguchicho, Hashimoto-shi","高野山エリア","その他","N"
"有限会社魚太郎","Uotaro Co., Ltd., fish & seafood shop","田辺市江川44‐11","44-11 Egawa, Tanabe-shi","熊野エリア","ショッピング","N"
"紀州酸素熔材店","Kishu Oxygen Solvent Shop","新宮市熊野地2丁目13‐9","2-13-9 Kumanoji, Shingu-shi","熊野エリア","その他","N"
"株式会社ワカノ","Pipe Works Wakano Co., Ltd.","有田郡広川町大字広309‐2","309-2 Hiro, Hirogawacho, Arida-gun","有田・湯浅・日高エリア","その他","N"
"有限会社稲垣商店","Itagaki Shoten Store Co., Ltd.","和歌山市井ﾉ口94‐1","94-1 Inokuchi, Wakayama-shi","和歌山市エリア","その他","N"
"太俊農園","Otoshi Noen Farm","有田郡湯浅町大字田10","10 Ta, Yuasacho, Arida-gun","有田・湯浅・日高エリア","その他","N"
"荒尾成文堂書店","Book Store Arao Seibundo","新宮市千穂2丁目3‐8","2-3-8 Chiho, Shingu-shi","熊野エリア","ショッピング","N"
"明治屋金物店","Meijiya, hardware shop","田辺市北新町15","15 Kitashinmachi, Tanabe-shi","熊野エリア","ショッピング","N"
"澤本明治土地家屋調査士事務所","Sawamoto Meiji, Land and House Investigator Office","田辺市東陽19-10","19-10 Toyo, Tanabe-shi","熊野エリア","その他","N"
"木岡鮮魚店","Kioka Fish Shop","西牟婁郡白浜町日置437‐17","437-17 Hiki, Shirahamacho, Nishimuro-gun","白浜・串本エリア","ショッピング","N"
"三谷医院","Mitani medical clinic","西牟婁郡 白浜町1400","1400 Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N"
"翔建築設計工房","Sho architectural design office","田辺市朝日ｹ丘28‐14","28-14 Asahigaoka, Tanabe-shi","熊野エリア","その他","N"
"あらほり木材","Arahori Mokuzai Timber","日高郡 みなべ町東岩代577","577 Higashiiwashiro, Minabecho, Hidaka-gun","有田・湯浅・日高エリア","その他","N"
"やかた","Yakata Restaurant","伊都郡高野町大字高野山733","733 Koyasan, Koyacho, Ito-gun","高野山エリア","グルメ","N"
"ダイチク精肉店","Daichiku butcher shop","西牟婁郡 上富田町岩田3103‐13","3103-13 Iwada, Kamitondacho, Nishimuro-gun","白浜・串本エリア","ショッピング","N"
"モリモト造園","Morimoto Zoen Gardening","日高郡みなべ町山内1595‐1","1595-1 Yamauchi, Minabecho, Hidaka-gun","有田・湯浅・日高エリア","その他","N"
"稲垣青果","Inagaki Fruit Shop","田辺市稲成町300","300 Inaricho, Tanabe-shi","熊野エリア","ショッピング","N"
"栗山晴年土地家屋調査士事務所","Kuriyama Harutoshi Land and House Investigator","海南市下津町方379‐3","379-3 Shimotsuchokata, Kainan-shi","和歌山市エリア","その他","N"
"久保味噌本舗","Kubo Miso Honpo Shop","和歌山市北町17","17 Kitamachi, Wakayama-shi","和歌山市エリア","その他","N"
"有限会社栗麺","Kurimen Co., Ltd., noodle making business","西牟婁郡 白浜町栄677‐2","677-2 Sakae, Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N"
"有限会社池喜商店","Ikeki Shoten Co., Ltd.","伊都郡かつらぎ町大字東渋田336‐1","336-1 Higashishibuta, Katsuragicho, Ito-gun","高野山エリア","その他","N"
"堀本金物店","Horimoto hardware store","田辺市本町37","37 Honmachi, Tanabe-shi","熊野エリア","ショッピング","N"
"アキツアソシエイツ","Akitsu Associates","橋本市高野口町伏原254","254 Fushihara, Koyaguchicho, Hashimoto-shi","高野山エリア","その他","N"
"有限会社玉置造園","Tamaki Zoen Gardening Co., Ltd.","新宮市神倉1丁目2‐15","1-2-15 Kamikura, Shingu-shi","熊野エリア","その他","N"
"有限会社湊米穀","Minato Beikoku Co., Ltd., rice shop","田辺市湊1170","1170 Minato, Tanabe-shi","熊野エリア","ショッピング","N"
"田元鉄工有限会社","Tamoto Ironworks Co., Ltd.","西牟婁郡 白浜町栄601‐3","601-3 Sakae, Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N"
"有限会社かね増青果","Kanemasu Seika Greengrocery Co., Ltd.","和歌山市西浜1660‐401","1660-401 Nishihama, Wakayama-shi","和歌山市エリア","ショッピング","N"
"株式会社マルサ　本店","Marusa Co., Ltd., seafood shop","田辺市福路町16","16 Fukuromachi, Tanabe-shi","熊野エリア","ショッピング","N"
"小西米穀店","Rice Shop Konishi Beikokuten","有田郡有田川町大字徳田242‐6","242-6 Tokuda, Aridagawacho, Arida-gun","有田・湯浅・日高エリア","ショッピング","N"
"紀の川環境協同組合","Kinokawa Kankyo Kyodokumiai Water Works","伊都郡 かつらぎ町大字窪470‐1","470-1 Kubo, Katsuragicho, Ito-gun","高野山エリア","その他","N"
"ナーセリーナカムラ","Nursery Nakamura","御坊市湯川町富安2422","2422 Tomiyasu, Yukawacho, Gobo-shi","有田・湯浅・日高エリア","ショッピング","N"
"サクラファーム","Sakura farm, Delicious Strawberries","紀の川市貴志川町西山1444","1444 Nishiyama, Kishigawacho, Kinokawa-shi","和歌山市エリア","その他","N"
"田辺西牟婁測量設計業協同組合","Tanabe Nishimuro Survey & Design co-op","田辺市朝日ヶ丘16-19","16-19 Asahigaoka, Tanabe-shi","熊野エリア","その他","N"
"きのかわふるさと村","Kinokawa Furusato Mura, local agricultural products","紀の川市西大井410‐5","410-5 Nishioi, Kinokawa-shi","和歌山市エリア","その他","N"
"山崎秋芳園","Umeboshi Shop Yamasaki Shuhouen","日高郡 みなべ町北道222","222 Kitado, Minabecho, Hidaka-gun","有田・湯浅・日高エリア","ショッピング","N"
"上霞石材店","Uwagasumi Gravestone","田辺市稲成町733‐8","733-8 Inaricho, Tanabe-shi","熊野エリア","その他","N"
"山本石油","Yamamoto Oil, service station","田辺市芳養町43","43 Hayacho, Tanabe-shi","熊野エリア","その他","N"
"ミートショップニシイ","Meat Shop Nishii","紀の川市名手市場1433","1433 Nateichiba, Kinokawa-shi","和歌山市エリア","グルメ","N"
"丁字屋打田店","Chojiya, Uchida, clothing shop","紀の川市上野41‐2","41-2 Ueno, Kinokawa-shi","和歌山市エリア","ショッピング","N"
"ＳｅａＢｉｒｔｈ","SeaBirth, knickknack shop","西牟婁郡白浜町1275‐12","1275-12 Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N"
"有限会社羽根エンジニアリング","Hane Engineering Co., Ltd.","和歌山市大谷15‐11","15-11 Otani, Wakayama-shi","和歌山市エリア","その他","N"
"Ｇ―ＴＥＣ","G-TEC, telecommunication","田辺市朝日ヶ丘1‐11","1-11 Asahigaoka, Tanabe-shi","熊野エリア","その他","N"
"みつば","Kitchen & Cafe Mitsuba","和歌山市黒田2丁目2‐35","2-2-35 Kuroda, Wakayama-shi","和歌山市エリア","グルメ","N"
"ハート整骨院鍼灸院","Heart Osteopathic Clinic Acupuncture Clinic","和歌山市新庄95","95 Shinjo, Wakayama-shi","和歌山市エリア","その他","N"
"上野山学園認定こども園認定こども園","Uenoyama Gakuen Nursery School","田辺市古尾17‐1","17-1 Furuo, Tanabe-shi","熊野エリア","その他","N"
"株式会社川合農機具店","Kawai agricultural machinery CO.,LTD.","御坊市島743‐3","743-3 Shima, Gobo-shi","有田・湯浅・日高エリア","その他","N"
"多屋安ガラス店","Tayayasu Glass","田辺市本町35","35 Honmachi, Tanabe-shi","熊野エリア","その他","N"
"川口登記測量事務所","Kawaguchi land and house investigator office","紀の川市打田537","537 Uchita, Kinokawa-shi","和歌山市エリア","その他","N"
"コーポＦワン","Co-op F1, real estate","新宮市五新3‐6","3-6 Goshin, Shingu-shi","熊野エリア","その他","N"
"かみや荘","Kamiyaso","日高郡 由良町大字神谷82","82 Kamiya, Yuracho, Hidaka-gun","有田・湯浅・日高エリア","その他","N"
"笠松農機店","Kasamatsu Agricultural Machinery","西牟婁郡 上富田町生馬1497‐6","1497-6 Ikuma , Kamitondacho, Nishimuro-gun","白浜・串本エリア","その他","N"
"和田建具店","Wada Tateguten, interior construction","西牟婁郡 白浜町田野井634","634 Tanoi, Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N"
"榎本建具店","Enomoto Furniture Store","伊都郡かつらぎ町大字妙寺499‐2","499-2 Myoji, Katsuragicho, Ito-gun","高野山エリア","その他","N"
"スミヤ・紀州備長炭倶楽部","Sumiya Kishu Binchotan Charcoal Club","日高郡 みなべ町熊岡442‐1","442-1 Kumaoka, Minabecho, Hidaka-gun","有田・湯浅・日高エリア","その他","N"
"民宿うら","Guesthouse Ura, specialty seafood cuisine","西牟婁郡白浜町3300-14","3300-14 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","N"
"もりとよ商店","Moritoyo Shoten Liquor Shop","東牟婁郡古座川町高池83‐1","83-1 Takaike, Kozagawacho, Higashimuro-gun","熊野エリア","ショッピング","N"
"中野モータース","Nakano Motors, motorcycle","御坊市薗116","116 Sono, Gobo-shi","有田・湯浅・日高エリア","その他","N"
"株式会社木地由クリエート","Kijiyoshi Create Co., Ltd.","海南市船尾704‐77","704-77 Funoo, Kainan-shi","和歌山市エリア","その他","N"
"有限会社野村酒店","Nomura Liquor Shop Co., Ltd.","田辺市磯間24‐35","24-35 Iisoma, Tanabe-shi","熊野エリア","ショッピング","N"
"有限会社松尾海運","Matsuo Kaiun Shipping Co., Ltd.","海南市下津町大崎4‐2","4-2 Osaki, Smotsucho, Kainan-shi","和歌山市エリア","その他","N"
"諏訪園","Suwaen Japanese Tea Store","和歌山市新堺丁40","40 Shinsakaicho, Wakayama-shi","和歌山市エリア","ショッピング","N"
"前田電気商会","Maeda Electrical Engineering","西牟婁郡 上富田町岩田2556","2556 Iwada, Kamitondacho, Nishimuro-gun","白浜・串本エリア","その他","N"
"デイボン","Deavon Leather Craft Store","和歌山市汐見町3丁目15‐1","3-15-1 Shiomicho, Wakayama-shi","和歌山市エリア","その他","N"
"中春商店","Nakaharu Shoten Store","海南市下津町下津1427‐1","1427-1 Shimotsu, Shimotsucho, Kainan-shi","和歌山市エリア","ショッピング","N"
"あみ清数見商店本店","Amise Kazumi Shoten, Main Shop","有田郡湯浅町大字湯浅519","519 Yuasa, Yuasacho, Arida-gun","有田・湯浅・日高エリア","ショッピング","N"
"和歌山西バプテスト教会","Wakayama Nishi Baptist Church","和歌山市西庄774‐14","774-14 Nishinosho, Wakayama-shi","和歌山市エリア","その他","N"
"橋本荘","Hashimotoso Inn","日高郡日高町大字産湯736‐1","736-1 Ubuyu, Hidakacho, Hidaka-gun","有田・湯浅・日高エリア","宿泊","N"
"ランドマーク湯浅","Landmark Yuasa","有田郡有田川町大字熊井442‐8","442-8 Kumai, Aridagawacho, Arida-gun","有田・湯浅・日高エリア","その他","N"
"有限会社岡鼻保険事務所","Okahana Insurance Office Co., Ltd.","東牟婁郡那智勝浦町大字宇久井286","286 Ugui, Nachikatsuuracho, Higashimuro-gun","熊野エリア","その他","N"
"新成建材店","Shinsei Building Supply Store","和歌山市湊御殿3丁目5‐2","3-5-2 Minatogoten, Wakayama-shi","和歌山市エリア","その他","N"
"中治","Nakaji liquor shop","紀の川市貴志川町 国主67-1","67-1 Kunishi, Kishigawacho , Kinokawa-shi","和歌山市エリア","ショッピング","N"
"ｄｒｏｐ","drop Hair Salon","和歌山市三葛314‐1ｸﾞﾘｰﾝﾌﾙのぼる102号","Greenful Noboru Rm.102, 314-1 Mikazura, Wakayama-shi","和歌山市エリア","その他","N"
"カゴタ花店","KAGOTA FLOWER","御坊市薗269‐2","269-2 Sono, Gobo-shi","有田・湯浅・日高エリア","ショッピング","N"
"森田白蟻研究所","Morita Termite Laboratory","有田郡有田川町大字上中島510","510 Kaminakashima, Aridagawacho, Arida-gun","有田・湯浅・日高エリア","その他","N"
"林ポンプ店","Hayashi Pump, plumbery","御坊市島545","545 Shima, Gobo-shi","有田・湯浅・日高エリア","その他","N"
"ＢＡＲ　ＤＩＶＥ","Bar DIVE","西牟婁郡白浜町1384‐62","1384-62 Shirahamacho, Nishimuro-gun","白浜・串本エリア","グルメ","N"
"ほっかほっか亭　和歌山駅東口店","HokkaHokka-tei, Wakayama Station East Exit Store","和歌山市太田2丁目14‐9","2-14-9 Oda, Wakayama-shi","和歌山市エリア","グルメ","N"
"ほっかほっか亭　こうざき店","HokkaHokka-tei, Kouzaki Store","和歌山市神前158‐2ｺｰﾎﾟひかり1階","Corp. Hikari 1F, 158-2 Kozaki, Wakayama-shi","和歌山市エリア","ショッピング","N"
"らぐまんラーメン","Restaurant Raguman Ramen","伊都郡かつらぎ町大字大谷1169-6","1169-6 Otani, Katsuragicho, Ito-gun","高野山エリア","グルメ","N"
"有限会社三浦エンジニアリング","Miura Engineering Co., Ltd.","和歌山市大谷806‐140","806-140 Otani, Wakayama-shi","和歌山市エリア","その他","N"
"ミスタータイヤマンＭ―Ｔｅｃｈ","Mr. Tire Man M-Tech","紀の川市貴志川町北山516‐3","516-3 Kitayama, Kishigawacho, Kinokawa-shi","和歌山市エリア","グルメ","N"
"山本満商店","Yamamoto Mitsuru Shoten Store","海草郡紀美野町下佐々726‐3","726-3 Shimosasa, Kiminocho, Kaiso-gun","和歌山市エリア","その他","N"
"場谷彫刻所","Batani precision machining","西牟婁郡 白浜町安宅461‐43","461-43 Atagi, Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N"
"和歌山県暮らしを守る会事務局","Wakayama prefecture group for safe livelihood, political body","橋本市高野口町 小田91‐4","91-4 Oda, Koyaguchicho,  Hashimoto-shi","高野山エリア","その他","N"
"大浦生花店","Oura Flower Shop","有田市宮原町新町34","34 Shinmachi, Miyaharacho, Arida-shi","有田・湯浅・日高エリア","その他","N"
"アクアフィールド","project AQUA FIELD","和歌山市田尻145‐9","145-9 Tajiri, Wakayama-shi","和歌山市エリア","その他","N"
"塗り工房ふじい","Nurikobo Painting Atelier Fujii","海南市名高532‐4","532-4 Nataka, Kainan-shi","和歌山市エリア","その他","N"
"岸浦製綿","Kishiura Cotton Mill","和歌山市内原1367","1367 Uchihara, Wakayama-shi","和歌山市エリア","その他","N"
"株式会社白浜衛生","Shirahama Janitorial Services Co., Ltd.","西牟婁郡 白浜町2927-365","2927-365 Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N"
"ビルボード株式会社","Billboard Co., Ltd.","和歌山市中筋日延298-12","298-12 Nakasujihinobe, Wakayama-shi","和歌山市エリア","その他","N"
"紀伊白浜温泉土地株式会社","Kii Shirahama hot spring supplier Co., Ltd.","西牟婁郡白浜町2762‐2","2762-2 Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N"
"セリエフラワーショップ","Selier Flower Shop","田辺市湊703","703 Minato, Tanabe-shi","熊野エリア","その他","N"
"Ｂｅｌｌｎａｒｌ","The Bellnarl Wedding","和歌山市吹屋町5丁目44-1ﾍﾞﾙﾅｰﾙ3階","Bernard 3F, 5-44-1 Fukiyacho, Wakayama-shi","和歌山市エリア","その他","N"
"フォレストパソコンスクール","Forest PC School","和歌山市島橋東ﾉ丁1‐47","1-47 Shimabashihigashinocho, Wakayama-shi","和歌山市エリア","その他","N"
"ボンバーガール","Import Goods Store Bomber Girl","伊都郡かつらぎ町大字寺尾58-58","58-58 Terao, Katsuragicho, Ito-gun","高野山エリア","その他","N"
"ビリヤードニュー東和","Billiard New Towa","和歌山市中之島2255","2255 Nakanoshima, Wakayama-shi","和歌山市エリア","その他","N"
"だいち整骨院","Daichi Bonesetter's Office","田辺市末広町3‐34","3-34 Suehirocho, Tanabe-shi","熊野エリア","その他","N"
"デイサービスセンターむろの家","Muronoie, adult day care center","西牟婁郡上富田町南紀の台59‐49","59-49 Nankinodai, Kamitondacho, Nishimuro-gun","白浜・串本エリア","その他","N"
"有限会社中川工作所","Nakagawa Kosakusho CO.,LTD., home remodeling","紀の川市西大井109‐1","109-1 Nishioi, Kinokawa-shi","和歌山市エリア","その他","N"
"祐星","Yusei Japanese-style Bar","和歌山市田中町2丁目21","2-21 Tanakamachi, Wakayama-shi","和歌山市エリア","グルメ","N"
"さくらきもの学院","Sakura Kimono School","岩出市清水485‐1","485-1 Shimizu, Iwade-shi","和歌山市エリア","その他","N"
"Ｆｏｒｔｙ―Ｆｉｖｅ―Ｓｅｌｅｃｔ","Forty-Five-Select, used car dealer","紀の川市打田321‐2","321-2 Uchita, Kinokawa-shi","和歌山市エリア","その他","N"
"Ｖ．Ｃ・Ｇａｒａｇｅ","","田辺市稲成町2778‐10"," ","熊野エリア","その他","N"
"三宅商会","","和歌山市新中島77‐1"," ","和歌山市エリア","その他","N"
"グランドオート・セイ","","和歌山市森小手穂295‐1"," ","和歌山市エリア","その他","N"
"グランドオート・セイ　楠見店","","和歌山市楠見中188‐7"," ","和歌山市エリア","その他","N"
"津守歯科クリニック","","和歌山市土入21‐21"," ","和歌山市エリア","その他","N"
"前田工業","","岩出市新田広芝28‐13"," ","和歌山市エリア","その他","N"
"大工井上","","海南市別院345"," ","和歌山市エリア","その他","N"
"株式会社和歌山ビデオセンター","","和歌山市吹上3丁目1‐45"," ","和歌山市エリア","その他","N"
"一楓","","御坊市湯川町小松原632‐1"," ","有田・湯浅・日高エリア","グルメ","N"
"ＯＮＮ学習塾","","和歌山市友田町4丁目16吉田ﾋﾞﾙ4階"," ","和歌山市エリア","その他","N"
"カラオケ広場シャルウイ・ソング","","海南市下津町 下津881‐1"," ","和歌山市エリア","その他","N"
"きもの帯たまき振袖館","","和歌山市黒田1丁目2‐17"," ","和歌山市エリア","ショッピング,その他","N"
"三谷建築設計事務所","Mitani Architecture Office","田辺市あけぼの52‐22","52-22 Akebono, Tanabe-shi","熊野エリア","その他","N"
"みやお歯科","","和歌山市北野154‐5"," ","和歌山市エリア","その他","N"
"松本建築設計事務所","","東牟婁郡 那智勝浦町大字朝日2丁目213‐1"," ","熊野エリア","その他","N"
"有限会社アートワーク","","和歌山市小松原5丁目1‐41"," ","和歌山市エリア","その他","N"
"有限会社　川端組","","紀の川市上田井761‐2"," ","和歌山市エリア","その他","N"
"いぬい内科呼吸器内科クリニック","","海南市名高539‐18"," ","和歌山市エリア","その他","N"
"角光弘土地家屋調査士事務所","","御坊市野口998‐5"," ","有田・湯浅・日高エリア","その他","N"
"中本農園","","日高郡 みなべ町晩稲1436"," ","有田・湯浅・日高エリア","ショッピング","N"
"庄司木材店","","東牟婁郡那智勝浦町大字湯川885"," ","熊野エリア","その他","N"
"中岡設備","","西牟婁郡上富田町南紀の台18‐1"," ","白浜・串本エリア","その他","N"
"カクタス・ニシ","","和歌山市大垣内688‐2"," ","和歌山市エリア","ショッピング","N"
"宮本製麺所","","紀の川市名手市場34"," ","和歌山市エリア","その他","N"
"シューズランドアリタ","","有田市宮崎町88"," ","有田・湯浅・日高エリア","その他","N"
"有限会社辻孝","","和歌山市手平4丁目6‐38"," ","和歌山市エリア","その他","N"
"ヴィラオーシャンビュー","","西牟婁郡白浜町1884‐1"," ","白浜・串本エリア","その他","N"
"アオイ整染工業株式会社","Aoi seisen Co.,LTD., textile treatment","橋本市高野口町伏原160","160 Fushihara, Koyaguchicho, Hashimoto-shi","高野山エリア","その他","N"
"澳内科医院","","有田郡湯浅町大字湯浅1054‐1"," ","有田・湯浅・日高エリア","その他","N"
"蔵カフェ","Kura Cafe","有田郡湯浅町湯浅1464","1464 Yuasa-cho, Arita-gun","有田・湯浅・日高エリア","グルメ","N"
"西川内科クリニック","Nishikawa Internal Medicine Clinic","和歌山市黒田1-2-4","1-2-4 Kuroda, Wakayama-shi","和歌山市エリア","その他","N"
"有限会社カワショー","","日高郡 美浜町大字和田1153"," ","有田・湯浅・日高エリア","その他","N"
"畑中化工株式会社","","海南市且来265‐2"," ","和歌山市エリア","その他","N"
"居酒屋亜細亜","ASIA, izakaya & ramen","岩出市森101","101 Mori, Iwade-shi","和歌山市エリア","グルメ","N"
"小山商事","Koyama Shoji, transportation","西牟婁郡上富田町朝来4075","4075 Asso, Kamitondacho, Nishimuro-gun","白浜・串本エリア","その他","N"
"藍の里あさもと工房","Asamoto Aizome Factory, indigo workshop","西牟婁郡 白浜町日置288‐1","288-1 Hiki, Shirahamacho, Nishimuro-gun","白浜・串本エリア","ショッピング","N"
"株式会社有石　貴志川店","Ariseki CO.,LTD., Kishikawa, gas station","紀の川市貴志川町前田559","559 Maeda, Kishigawacho, Kinokawa-shi","和歌山市エリア","その他","N"
"グリーンショップ　エルマナ","Green shop,  Herumana, florist shop","岩出市湯窪8‐1","8-1 Yukubo, Iwade-shi","和歌山市エリア","その他","N"
"クリーン・サービス","","田辺市秋津町764‐10"," ","熊野エリア","その他","N"
"きのくに薬局","Kinokuni Pharmacy","和歌山市藤田15‐1","15-1 Fujita, Wakayama-shi","和歌山市エリア","その他","N"
"ＣＡＳＡ","CASA Interior","和歌山市中之島1475","1475 Nakanoshima, Wakayama-shi","和歌山市エリア","その他","N"
"タキガワメガネ","TAKIGAWA OPTICAL","和歌山市元博労町36","36 Motobakuromachi, Wakayama-shi","和歌山市エリア","ショッピング","N"
"木村屋","","和歌山市新和歌浦2‐2"," ","和歌山市エリア","宿泊","N"
"赤帽小川運送店","Akabou Ogawa Forwarding House","和歌山市和歌川町5‐12","5-12 Wakagawacho, Wakayama-shi","和歌山市エリア","その他","N"
"前田商店","Maeda Shoten","和歌山市冬野1224‐11","1224-11 Fuyuno, Wakayama-shi","和歌山市エリア","その他","N"
"おそうじ本舗和歌山紀の川店","Osouji Honopo House Cleaning Service Wakayama Kinokawa Branch","和歌山市島橋南ﾉ丁3‐6","3-6 Minaminocho, Shimabashi, Wakayama-shi","和歌山市エリア","その他","N"
"アールクレー","","和歌山市東鍛冶屋町24"," ","和歌山市エリア","その他","N"
"ほけんプラス株式会社","Hoken Plus Co., Ltd.","和歌山市北ﾉ新地 東ﾉ丁4","4 Higashinocho, Kitanoshinchi, Wakayama-shi","和歌山市エリア","その他","N"
"株式会社プロテックス","Protecs Co., Ltd.","和歌山市北出島1丁目2‐14","1-2-14 Kitadejima, Wakayama-shi","和歌山市エリア","その他","N"
"倉庫ミュージアムＷＡＷＡＷＡ","warehouse museum WAWAWA, new style art & cafe","御坊市島326-2","326-2 Shima, Gobo-shi","有田・湯浅・日高エリア","グルメ","N"
"株式会社サンエスト","Sunest Aviation Co., Ltd.","西牟婁郡白浜町2926新南紀白浜空港ｻﾝｴｽﾄ格納庫","Shinnankishirahama Airport Sunest Hanger, 2926 Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N"
"食堂プチ","","御坊市薗299‐5"," ","有田・湯浅・日高エリア","グルメ","N"
"石神邑","","田辺市上芳養391"," ","熊野エリア","ショッピング","N"
"有限会社ニッソー","Nisso Recycle Co., Ltd.","和歌山市中島12‐2","12-2 Nakajima, Wakayama-shi","和歌山市エリア","ショッピング","N"
"橋爪肥料店","","海南市下津町小南176"," ","和歌山市エリア","その他","N"
"森安機工","Moriyasu Kiko Ceramic Work","海南市岡田444‐15","444-15 Okada, Kainan-shi","和歌山市エリア","その他","N"
"関本自動車ＲＡＭＡ車検センター","Sekimoto Automobile RAMA Car Inspection Center","和歌山市湊1369‐3","1369-3 Minato, Wakayama-shi","和歌山市エリア","その他","N"
"高橋会計事務所","Takahashi Accounting Office","岩出市中黒276-3","276-3 Nakakuro, Iwade-shi","和歌山市エリア","その他","N"
"ミヤビエンタープライズ　事務所","Miyabi Enterprise, insurance company","紀の川市桃山町神田180","180 Koda, Momoyamacho, Kinokawa-shi","和歌山市エリア","その他","N"
"オーロラ","Aurora","和歌山市西高松1丁目6‐4","1-6-4 Nishitakamatsu, Wakayama-shi","和歌山市エリア","その他","N"
"ガリバー","","田辺市あけぼの16‐31"," ","熊野エリア","ショッピング","N"
"クロスロード・レコード","CROSSROAD RECORDS","和歌山市元寺町1丁目60","1-60 Motoderamachi, Wakayama-shi","和歌山市エリア","ショッピング","N"
"有限会社エム工房","M Kobo Co., Ltd.","紀の川市貴志川町前田475‐5","475-5 Kishigawachomaeda, Kinokawa-shi","和歌山市エリア","その他","N"
"浦口高典　事務所","Uraguchi Kouten Prefectural Assembly Office","和歌山市堀止西1丁目10‐14","1-10-14 Horidomenishi, Wakayama-shi","和歌山市エリア","その他","N"
"有限会社安田農園","","西牟婁郡 白浜町大440"," ","白浜・串本エリア","ショッピング","N"
"マリク","Pet Shop Malik","西牟婁郡白浜町2998‐138","2998-138 Shirahamacho, Nishimuro-gun","白浜・串本エリア","ショッピング","N"
"旭商会（株）事務所","Asahi and Co. Office","御坊市湯川町財部260‐5","260-5 Takara, Yukawacho, Gobo-shi","有田・湯浅・日高エリア","その他","N"
"株式会社河尻","Kawajiri Metal Processing Co., Ltd.","和歌山市下三毛513","513 Shimomike, Wakayama-shi","和歌山市エリア","その他","N"
"しこう和歌山店","Shikou Jewelry Shop Wakayama Branch","和歌山市南桶屋町16","16 Minami Okeyamachi, Wakayama-shi","和歌山市エリア","ショッピング","N"
"根来電機","","紀の川市貴志川町 西山652"," ","和歌山市エリア","その他","N"
"Ｐａｓｔｅｌ・Ｂｅｅ","Balloon Shop Pastel Bee","田辺市南新町72‐3","72-3 Minamishinmachi, Tanabe-shi","熊野エリア","その他","N"
"辛バール","Kara Bar Noodle Bar","和歌山市畑屋敷袋町5ﾏﾁｽﾋﾞﾙ1階","Matisse Bldg. 1F, 5 Fukuromachi, Hatayashiki, Wakayama-shi","和歌山市エリア","グルメ","N"
"株式会社山本スクラップ","Yamamoto Scrap Co., Ltd.","御坊市島584","584 Shima, Gobo-shi","有田・湯浅・日高エリア","その他","N"
